SellerID,SellerName,GSTIN,ContactEmail
201,"Tech World",GSTIN001,techworld@gmail.com
202,"Mobile Hub",GSTIN002,mobilehub@gmail.com
203,"Laptop Point",GSTIN003,laptoppoint@gmail.com
204,"Home Needs",GSTIN004,homeneeds@gmail.com
205,"Fashion Store",GSTIN005,fashionstore@gmail.com
206,"Smart Gadgets",GSTIN006,smartgadgets@gmail.com
207,"Book House",GSTIN007,bookhouse@gmail.com
208,"Sports Zone",GSTIN008,sportszone@gmail.com
209,"Audio World",GSTIN009,audioworld@gmail.com
210,"Daily Mart",GSTIN010,dailymart@gmail.com
